日期,部门,平台,子平台,成交金额,目标金额
2026/5/29,低温,抖音,抖音,5.4,8.0
2026/5/29,低温,拼多多,拼多多,3.26,3.3
2026/5/29,低温,新零售,新零售,61.31,59.0
2026/5/29,八喜,京东,pop,0.87,3.3
2026/5/29,八喜,京东,自营,46.21,30.0
2026/5/29,八喜,天猫,猫旗,137.3,50.0
2026/5/29,八喜,天猫,猫超,3.37,2.5
2026/5/29,八喜,抖音,抖音,8.46,2.5
2026/5/29,八喜,拼多多,拼多多,0.19,0.2
2026/5/29,奶粉,京东,pop,0.06,0.18
2026/5/29,奶粉,京东,自营,54.85,17.3
2026/5/29,奶粉,天猫,猫旗,1.18,1.4
2026/5/29,奶粉,抖音,抖音,10.22,6.26
2026/5/29,奶粉,拼多多,拼多多,1.7,1.78
2026/5/29,常温,京东,pop,4.07,9.0
2026/5/29,常温,京东,自营,78.95,90.0
2026/5/29,常温,天猫,猫旗,4.48,8.0
2026/5/29,常温,天猫,猫超,19.49,17.0
2026/5/29,常温,小程序及其他,小程序及其他,0.55,3.75
2026/5/29,常温,抖音,抖音,48.27,30.0
2026/5/29,常温,拼多多,多多买菜,17.32,0.0
2026/5/29,常温,拼多多,拼多多,9.01,26.0
2026/5/29,常温,新零售,新零售,56.11,34.1
2026/5/30,低温,京东,pop,1.4,2.0
2026/5/30,低温,京东,自营,33.45,18.4
2026/5/30,低温,天猫,猫旗,4.9,1.5
2026/5/30,低温,天猫,猫超,0.34,0.6
2026/5/30,低温,抖音,抖音,2.55,8.5
2026/5/30,低温,拼多多,拼多多,3.2,2.6
2026/5/30,低温,新零售,新零售,89.76,70.0
2026/5/30,八喜,京东,pop,0.31,3.3
2026/5/30,八喜,京东,自营,169.09,26.07
2026/5/30,八喜,天猫,猫旗,96.09,50.0
2026/5/30,八喜,天猫,猫超,3.45,3.0
2026/5/30,八喜,抖音,抖音,10.19,4.5
2026/5/30,八喜,拼多多,拼多多,0.19,0.2
2026/5/30,奶粉,京东,pop,0.19,0.17
2026/5/30,奶粉,京东,自营,19.95,41.34
2026/5/30,奶粉,天猫,猫旗,1.18,3.52
2026/5/30,奶粉,抖音,抖音,8.62,6.0
2026/5/30,奶粉,拼多多,拼多多,1.58,1.83
2026/5/30,常温,京东,pop,6.3,9.5
2026/5/30,常温,京东,自营,116.04,100.0
2026/5/30,常温,天猫,猫旗,7.82,10.0
2026/5/30,常温,天猫,猫超,19.86,20.41
2026/5/30,常温,小程序及其他,小程序及其他,16.42,3.75
2026/5/30,常温,抖音,抖音,45.02,32.0
2026/5/30,常温,拼多多,多多买菜,17.62,0.0
2026/5/30,常温,拼多多,拼多多,10.42,23.0
2026/5/30,常温,新零售,新零售,70.7,48.3
2026/5/31,低温,京东,pop,1.6,3.5
2026/5/31,低温,京东,自营,66.46,23.2
2026/5/31,低温,天猫,猫旗,20.99,2.0
2026/5/31,低温,天猫,猫超,0.36,1.0
2026/5/31,低温,抖音,抖音,24.91,9.0
2026/5/31,低温,拼多多,拼多多,3.5,3.1
2026/5/31,低温,新零售,新零售,65.14,59.0
2026/5/31,八喜,京东,pop,0.86,3.3
2026/5/31,八喜,京东,自营,184.45,25.0
2026/5/31,八喜,天猫,猫旗,29.01,54.0
2026/5/31,八喜,天猫,猫超,22.92,80.0
2026/5/31,八喜,抖音,抖音,21.91,4.5
2026/5/31,八喜,拼多多,拼多多,0.18,0.2
2026/5/31,奶粉,京东,pop,0.29,0.25
2026/5/31,奶粉,京东,自营,11.19,52.04
2026/5/31,奶粉,天猫,猫旗,1.1,4.4
2026/5/31,奶粉,抖音,抖音,5.54,9.15
2026/5/31,奶粉,拼多多,拼多多,1.68,2.6
2026/5/31,常温,京东,pop,8.12,10.0
2026/5/31,常温,京东,自营,151.98,120.0
2026/5/31,常温,天猫,猫旗,6.25,11.0
2026/5/31,常温,天猫,猫超,21.03,29.92
2026/5/31,常温,小程序及其他,小程序及其他,16.42,3.75
2026/5/31,常温,抖音,抖音,40.31,32.0
2026/5/31,常温,拼多多,多多买菜,11.84,0.0
2026/5/31,常温,拼多多,拼多多,11.45,23.0
2026/5/31,常温,新零售,新零售,80.91,50.6
2026/6/1,低温,京东,pop,1.31,2.0
2026/6/1,低温,京东,自营,43.18,22.3
2026/6/1,低温,天猫,猫旗,5.25,1.5
2026/6/1,低温,天猫,猫超,0.32,0.6
